page,group,count
"Liste der häufigen Vornamen","liste-der-häufigen-vornamen-2016 (8942), liste-der-häufigen-vornamen-2018 (7850), liste-der-häufigen-vornamen-2019 (5965.0), liste-der-häufigen-vornamen-2013(3901.0), liste-der-häufigen-vornamen-2017(3490.0),liste-der-häufigen-vornamen-2020(3457.0)",33605
"Covid-19 Verteilung","covid-19-berlin-verteilung-den-bezirken-gesamtübersicht (8387), covid-19-berlin-verteilung-den-bezirken (6213), covid-19-fälle-im-land-berlin-verteilung-nach-altersgruppen (5157.0)",19757
Openstreetmap Daten,"openstreetmap-daten-für-berlin (7625), openstreetmap-daten-für-berlin (3481.0)",11106
VBB Fahrplan Daten,"vbb-fahrplandaten-gtfs (6944), vbb-fahrplan-2013 (4151), vbb-fahrplandaten-api(3035.0)",14130
alkis-berlin-amtliches-liegenschaftskatasterinformationssystem,"",6081.0
alkis-berlin-flurstücke,"",4007.0
finanzamt-atlas-berlin,"",3345.0
liste-der-badestellen-badegewässerqualität,"",3198.0
liste-der-verbannten-bücher,"",3188.0
14-radrouten-und-radverkehrsanlagen-gps-tracks-für-die-radrouten-durch-berlin,"",2898.0
liste-der-stolpersteine-berlin,"",2812.0