page,count,mean,std,month_count,std_norm,max
lebensweltlich-orientierte-räume-lor-berlin,478.0,17.703703703703702,4.83429109284602,27,0.27306665168795513,30.0
liste-der-verbannten-bücher-0,856.0,31.703703703703702,11.289255664006085,27,0.3560863351964536,57.0
bsr-straßenreinigung-verzeichnisse-und-reinigungsklassen,1377.0,51.0,21.663510618265274,27,0.42477471800520145,104.0
koordinaten-der-zugangsmöglichkeiten-zu-stationen-0,870.0,32.22222222222222,14.380364105086903,27,0.44628716188200734,69.0
liste-der-diplomaten-kennzeichen-d,2800.0,28.8659793814433,13.00130511556066,97,0.45040235578906573,70.0
lod2-gebäudedaten-berlin,2066.0,76.51851851851852,34.97952188877017,27,0.4571379917699877,136.0
straßenverzeichnis,746.0,27.62962962962963,13.0977042854791,27,0.47404559746372077,59.0
emobility-ladestationen-berlin,1603.0,16.697916666666668,8.05653679242634,96,0.48248754340170213,50.0
verbraucherpreisindex-im-land-berlin-und-brandenburg,693.0,17.325,8.425807425358757,40,0.4863380909297984,33.0
openstreetmap-daten-für-berlin,3481.0,128.92592592592592,62.987132950936235,27,0.48855288413538595,335.0